Domestic Passenger - Departures Performed (Flights)  (January 2000 - July 2019)
Unit: (000)

Period,Scheduled
"January 2000","623646"
"February 2000","605799"
"March 2000","666940"
"April 2000","635683"
"May 2000","672620"
"June 2000","660467"
"July 2000","682558"
"August 2000","692874"
"September 2000","658274"
"October 2000","692862"
"November 2000","657575"
"December 2000","646562"
"January 2001","677941"
"February 2001","614242"
"March 2001","683033"
"April 2001","652922"
"May 2001","674360"
"June 2001","655886"
"July 2001","693672"
"August 2001","707077"
"September 2001","527483"
"October 2001","588116"
"November 2001","562761"
"December 2001","580757"
"January 2002","614110"
"February 2002","571898"
"March 2002","639968"
"April 2002","626683"
"May 2002","640659"
"June 2002","642274"
"July 2002","673615"
"August 2002","679840"
"September 2002","626950"
"October 2002","815032"
"November 2002","766327"
"December 2002","781653"
"January 2003","785160"
"February 2003","690351"
"March 2003","797194"
"April 2003","766260"
"May 2003","789397"
"June 2003","798351"
"July 2003","831619"
"August 2003","830737"
"September 2003","781804"
"October 2003","818308"
"November 2003","765842"
"December 2003","798392"
"January 2004","787237"
"February 2004","761618"
"March 2004","834476"
"April 2004","817899"
"May 2004","833350"
"June 2004","836916"
"July 2004","871049"
"August 2004","882979"
"September 2004","819294"
"October 2004","861291"
"November 2004","820048"
"December 2004","836232"
"January 2005","807338"
"February 2005","760955"
"March 2005","866593"
"April 2005","838122"
"May 2005","872961"
"June 2005","863422"
"July 2005","887084"
"August 2005","890938"
"September 2005","814935"
"October 2005","831265"
"November 2005","797460"
"December 2005","802067"
"January 2006","785364"
"February 2006","715843"
"March 2006","823793"
"April 2006","794390"
"May 2006","824051"
"June 2006","820310"
"July 2006","852114"
"August 2006","866551"
"September 2006","799777"
"October 2006","828218"
"November 2006","792523"
"December 2006","805058"
"January 2007","803924"
"February 2007","724657"
"March 2007","830373"
"April 2007","809663"
"May 2007","844074"
"June 2007","832163"
"July 2007","863659"
"August 2007","872349"
"September 2007","805076"
"October 2007","841179"
"November 2007","804635"
"December 2007","803981"
"January 2008","793275"
"February 2008","746679"
"March 2008","817511"
"April 2008","799666"
"May 2008","820130"
"June 2008","815936"
"July 2008","844755"
"August 2008","823531"
"September 2008","728389"
"October 2008","758540"
"November 2008","707252"
"December 2008","720064"
"January 2009","709936"
"February 2009","659905"
"March 2009","747367"
"April 2009","728892"
"May 2009","749038"
"June 2009","760198"
"July 2009","794077"
"August 2009","781361"
"September 2009","709839"
"October 2009","726611"
"November 2009","694780"
"December 2009","704870"
"January 2010","694866"
"February 2010","623022"
"March 2010","739935"
"April 2010","722593"
"May 2010","741616"
"June 2010","751359"
"July 2010","782506"
"August 2010","781460"
"September 2010","718697"
"October 2010","737265"
"November 2010","704414"
"December 2010","702620"
"January 2011","681174"
"February 2011","625559"
"March 2011","754694"
"April 2011","720117"
"May 2011","743824"
"June 2011","756735"
"July 2011","783853"
"August 2011","767983"
"September 2011","706423"
"October 2011","723246"
"November 2011","682682"
"December 2011","701368"
"January 2012","677716"
"February 2012","647034"
"March 2012","728653"
"April 2012","707046"
"May 2012","725746"
"June 2012","735119"
"July 2012","757513"
"August 2012","753513"
"September 2012","678037"
"October 2012","694760"
"November 2012","669426"
"December 2012","670923"
"January 2013","662112"
"February 2013","607640"
"March 2013","710309"
"April 2013","693922"
"May 2013","721507"
"June 2013","719401"
"July 2013","751578"
"August 2013","747142"
"September 2013","683442"
"October 2013","708629"
"November 2013","655944"
"December 2013","662387"
"January 2014","624904"
"February 2014","577283"
"March 2014","696517"
"April 2014","676581"
"May 2014","696041"
"June 2014","702168"
"July 2014","735930"
"August 2014","724969"
"September 2014","665764"
"October 2014","693956"
"November 2014","648911"
"December 2014","666278"
"January 2015","634742"
"February 2015","569978"
"March 2015","683908"
"April 2015","669813"
"May 2015","690177"
"June 2015","697448"
"July 2015","733014"
"August 2015","724738"
"September 2015","658555"
"October 2015","687735"
"November 2015","651194"
"December 2015","659795"
"January 2016","636765"
"February 2016","612178"
"March 2016","697834"
"April 2016","675647"
"May 2016","703029"
"June 2016","713728"
"July 2016","731408"
"August 2016","732587"
"September 2016","673331"
"October 2016","688366"
"November 2016","658172"
"December 2016","662172"
"January 2017","645181"
"February 2017","592064"
"March 2017","697006"
"April 2017","673402"
"May 2017","706844"
"June 2017","718966"
"July 2017","739824"
"August 2017","735639"
"September 2017","652255"
"October 2017","692007"
"November 2017","656964"
"December 2017","667224"
"January 2018","653359"
"February 2018","600506"
"March 2018","698481"
"April 2018","695316"
"May 2018","724120"
"June 2018","732365"
"July 2018","760113"
"August 2018","756662"
"September 2018","686618"
"October 2018","722678"
"November 2018","678145"
"December 2018","691068"
"January 2019","667515"
"February 2019","607540"
"March 2019","729165"
"April 2019","709019"
"May 2019","738670"
"June 2019","741625"
"July 2019","768765"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
